"id","listid","study_position","color_condition","trial_condition","presented_color","word1","studyRT","resp","expect_test","use_help","recall_all_q","output_pos1","testRT","acc","cue_prioritem1","cue_prioritem","cue_consec_value","cue_consec_lab","X","larger_p","sizeRT","size_group","lp_prioritem1","lp_prioritem","sizeg_prioritem1","sizeg_prioritem","size_diff"
"19231",1,25,"red","remember","red","library",938.957999984472,"larger","No","No","Yes",NA,NA,0,"remember","remember",1.5,"remember2",99,"0.99",1293.25799999398,"2","0.97","0.97","2","2",0
"19231",1,26,"red","remember","red","table",1900.18899998729,"smaller","No","No","Yes",NA,NA,0,"remember","remember",2.5,"remember3",156,"0.94",1478.23850001189,"2","0.99","0.99","2","2",0
"19231",1,27,"red","process","blue","soldier",3523.31700001378,"larger","No","No","Yes",NA,NA,0,"remember","remember",2.5,"remember3",148,"0.9",1370.8480000837,"2","0.94","0.94","2","2",0
"19231",1,28,"red","remember","red","church",1224.8279999535,"larger","No","No","Yes",NA,NA,0,"process","process",-0.5,"process1",42,"0.98",1307.02500012465,"2","0.9","0.9","2","2",0
"19231",1,29,"red","remember","red","elephant",1947.34699993458,"smaller","No","No","Yes",NA,NA,0,"remember","remember",0.5,"remember1",67,"0.95",1346.57799998201,"2","0.98","0.98","2","2",0
"19231",1,30,"red","process","blue","piano",5091.81799996685,"smaller","No","No","Yes",NA,NA,0,"remember","remember",1.5,"remember2",121,"0.94",1290.38599994907,"2","0.95","0.95","2","2",0
"19231",2,1,"red","process","blue","lawyer",1008.86799990659,"larger","No","No","Yes",NA,NA,0,NA,NA,NA,NA,97,"0.93",1466.98499981374,"2",NA,NA,"2","2",0
"19231",2,2,"red","remember","red","peanut",615.835999923991,"smaller","No","No","Yes",NA,NA,0,"process","process",-0.5,"process1",117,"0.02",1387.81250005146,"0","0.93","0.93","2","2",-2
"19231",2,3,"red","remember","red","corn",1511.93499997654,"larger","No","No","Yes",29,1051.18099999439,1,"remember","remember",0.5,"remember1",52,"0.04",1658.43100017403,"0","0.02","0.02","0","0",0
"19231",2,4,"red","remember","red","towel",1239.04399998405,"larger","No","No","Yes",NA,NA,0,"remember","remember",1.5,"remember2",164,"0.74",1771.73999999999,"1","0.04","0.04","0","0",1
"19231",2,5,"red","process","blue","fort",1442.34000001429,"larger","No","No","Yes",NA,NA,0,"remember","remember",2.5,"remember3",74,"0.93",1491.44799999881,"2","0.74","0.74","1","1",1
"19231",2,6,"red","remember","red","window",1173.46799993969,"smaller","No","No","Yes",NA,NA,0,"process","process",-0.5,"process1",177,"0.87",1648.16399981343,"2","0.93","0.93","2","2",0
"19231",2,7,"red","process","blue","branch",5249.58499998815,"larger","No","No","Yes",NA,NA,0,"remember","remember",0.5,"remember1",20,"0.54",2299.08099987504,"1","0.87","0.87","2","2",-1
"19231",2,8,"red","process","blue","statue",1740.95799993118,"larger","No","No","Yes",35,1795.03099994047,1,"process","process",-0.5,"process1",151,"0.96",1537.21900002076,"2","0.54","0.54","1","1",1
"19231",2,9,"red","remember","red","monkey",2048.8849999925,"smaller","No","No","Yes",20,5136.26499991072,1,"process","process",-1.5,"process2",104,"0.93",1498.48149994938,"2","0.96","0.96","2","2",0
"19231",2,10,"red","process","blue","butler",1117.43699990102,"larger","No","No","Yes",2,6116.28100000031,1,"remember","remember",0.5,"remember1",29,"0.93",1655.49150000263,"2","0.93","0.93","2","2",0
"19231",2,11,"red","process","blue","toast",1622.73999995133,"smaller","No","No","Yes",NA,NA,0,"process","process",-0.5,"process1",162,"0.03",1453.02800001146,"0","0.93","0.93","2","2",-2
"19231",2,12,"red","remember","red","garden",839.756999948644,"larger","No","No","Yes",NA,NA,0,"process","process",-1.5,"process2",77,"0.94",1679.29399993311,"2","0.03","0.03","0","0",2
"19231",2,13,"red","process","blue","empire",1505.84699999291,"larger","No","No","Yes",NA,NA,0,"remember","remember",0.5,"remember1",69,"0.95",1570.91800000297,"2","0.94","0.94","2","2",0
"19231",2,14,"red","process","blue","goose",2121.57699989947,"smaller","No","No","Yes",NA,NA,0,"process","process",-0.5,"process1",80,"0.86",1662.9050000087,"2","0.95","0.95","2","2",0
"19231",2,15,"red","remember","red","surgeon",1541.23599999276,"larger","No","No","Yes",NA,NA,0,"process","process",-1.5,"process2",154,"0.98",1621.28500001953,"2","0.86","0.86","2","2",0
"19231",2,16,"red","process","blue","crown",792.338999921631,"smaller","No","No","Yes",NA,NA,0,"remember","remember",0.5,"remember1",55,"0.19",1754.04400000002,"0","0.98","0.98","2","2",-2
"19231",2,17,"red","remember","red","barn",1512.66399999481,"larger","No","No","Yes",NA,NA,0,"process","process",-0.5,"process1",6,"0.97",1345.87250000202,"2","0.19","0.19","0","0",2
"19231",2,18,"red","remember","red","virus",1394.24700001342,"smaller","No","No","Yes",NA,NA,0,"remember","remember",0.5,"remember1",172,"0.13",1522.9034999996,"0","0.97","0.97","2","2",-2
"19231",2,19,"red","process","blue","jungle",1081.35199998581,"larger","No","No","Yes",NA,NA,0,"remember","remember",1.5,"remember2",92,"0.96",1400.17550000636,"2","0.13","0.13","0","0",2
"19231",2,20,"red","process","blue","penny",1380.36499993282,"smaller","No","No","Yes",NA,NA,0,"process","process",-0.5,"process1",119,"0.07",1438.30700000236,"0","0.96","0.96","2","2",-2
"19231",2,21,"red","remember","red","wolf",3032.9409999093,"larger","No","No","Yes",1,4470.70099995914,1,"process","process",-1.5,"process2",178,"0.97",1540.21100003508,"2","0.07","0.07","0","0",2
"19231",2,22,"red","remember","red","finger",1443.87099999929,"smaller","No","No","Yes",5,3132.51999990083,1,"remember","remember",0.5,"remember1",71,"0.03",1513.66400000223,"0","0.97","0.97","2","2",-2
"19231",2,23,"red","process","blue","belt",1430.68299996882,"larger","No","No","Yes",NA,NA,0,"remember","remember",1.5,"remember2",12,"0.2",1620.95999999903,"0","0.03","0.03","0","0",0
"19231",2,24,"red","process","blue","buffalo",885.793999928981,"larger","No","No","Yes",NA,NA,0,"process","process",-0.5,"process1",26,"0.94",1291.83550000453,"2","0.2","0.2","0","0",2
"19231",2,25,"red","remember","red","wrist",738.841999904253,"smaller","No","No","Yes",NA,NA,0,"process","process",-1.5,"process2",180,"0.09",1433.27300000016,"0","0.94","0.94","2","2",-2
"19231",2,26,"red","remember","red","cloud",961.739999952668,"larger","No","No","Yes",7,6596.37399996561,1,"remember","remember",0.5,"remember1",46,"0.89",1543.56900000002,"2","0.09","0.09","0","0",2
"19231",2,27,"red","remember","red","jeep",831.363999910653,"smaller","No","No","Yes",NA,NA,0,"remember","remember",1.5,"remember2",90,"0.96",1463.88000003004,"2","0.89","0.89","2","2",0
"19231",2,28,"red","process","blue","stairs",1939.81599996198,"larger","No","No","Yes",18,1621.23799993203,1,"remember","remember",2.5,"remember3",150,"0.9",1455.46999999997,"2","0.96","0.96","2","2",0
"19231",2,29,"red","process","blue","dog",1262.47499997163,"smaller","No","No","Yes",11,2384.52200000221,1,"process","process",-0.5,"process1",63,"0.91",1483.62399999035,"2","0.9","0.9","2","2",0
"19231",2,30,"red","remember","red","whistle",611.554999990331,"smaller","No","No","Yes",NA,NA,0,"process","process",-1.5,"process2",176,"0.03",1441.00849999982,"0","0.91","0.91","2","2",-2
"19232",1,1,"blue","remember","blue","soldier",5095.00000000003,"larger","No","No","Yes",1,5024,1,NA,NA,NA,NA,148,"0.9",1370.8480000837,"2",NA,NA,"0","0",2
"19232",1,2,"blue","remember","blue","tent",3166,"larger","No","No","Yes",2,2324,1,"remember","remember",0.5,"remember1",159,"0.91",1397.86800000857,"2","0.9","0.9","2","2",0
"19232",1,3,"blue","remember","blue","airplane",2054,"larger","No","No","Yes",NA,NA,0,"remember","remember",1.5,"remember2",1,"0.94",1408.10800000065,"2","0.91","0.91","2","2",0
"19232",1,4,"blue","process","red","cookie",2640,"smaller","No","No","Yes",NA,NA,0,"remember","remember",2.5,"remember3",51,"0.06",1541,"0","0.94","0.94","2","2",-2
"19232",1,5,"blue","process","red","eagle",3134,"larger","No","No","Yes",NA,NA,0,"process","process",-0.5,"process1",65,"0.82",1791.70799999807,"2","0.06","0.06","0","0",2
"19232",1,6,"blue","remember","blue","worm",5949.00000000003,"smaller","No","No","Yes",NA,NA,0,"process","process",-1.5,"process2",179,"0.04",1334.6285000018,"0","0.82","0.82","2","2",-2
"19232",1,7,"blue","remember","blue","bike",3028.99999999997,"larger","No","No","Yes",NA,NA,0,"remember","remember",0.5,"remember1",14,"0.9",1298.86499999955,"2","0.04","0.04","0","0",2
"19232",1,8,"blue","remember","blue","bone",1649,"smaller","No","No","Yes",NA,NA,0,"remember","remember",1.5,"remember2",16,"0.27",1787.56600000022,"1","0.9","0.9","2","2",-1
"19232",1,9,"blue","remember","blue","dog",1214,"larger","No","No","Yes",4,9765,1,"remember","remember",2.5,"remember3",63,"0.91",1483.62399999035,"2","0.27","0.27","1","1",1
"19232",1,10,"blue","process","red","barrel",4732,"larger","No","No","Yes",NA,NA,0,"remember","remember",2.5,"remember3",7,"0.93",1533.06299999845,"2","0.91","0.91","2","2",0
"19232",1,11,"blue","remember","blue","monkey",2275,"smaller","No","No","Yes",NA,NA,0,"process","process",-0.5,"process1",104,"0.93",1498.48149994938,"2","0.93","0.93","2","2",0
"19232",1,12,"blue","process","red","dessert",1504,"smaller","No","No","Yes",NA,NA,0,"remember","remember",0.5,"remember1",58,"0.37",1793.48500003087,"1","0.93","0.93","2","2",-1
"19232",1,13,"blue","process","red","tower",2052,"larger","No","No","Yes",NA,NA,0,"process","process",-0.5,"process1",165,"0.96",1340.16099998227,"2","0.37","0.37","1","1",1
"19232",1,14,"blue","remember","blue","chair",776,"smaller","No","No","Yes",NA,NA,0,"process","process",-1.5,"process2",37,"0.96",1689.08199999877,"2","0.96","0.96","2","2",0
"19232",1,15,"blue","remember","blue","goose",2136,"smaller","No","No","Yes",5,7717,1,"remember","remember",0.5,"remember1",80,"0.86",1662.9050000087,"2","0.96","0.96","2","2",0
"19232",1,16,"blue","remember","blue","devil",3115.00000000006,"larger","No","No","Yes",NA,NA,0,"remember","remember",1.5,"remember2",59,"0.89",1617.07800001028,"2","0.86","0.86","2","2",0
"19232",1,17,"blue","process","red","table",2614,"smaller","No","No","Yes",NA,NA,0,"remember","remember",2.5,"remember3",156,"0.94",1478.23850001189,"2","0.89","0.89","2","2",0
"19232",1,18,"blue","process","red","bride",2184,"larger","No","No","Yes",NA,NA,0,"process","process",-0.5,"process1",23,"0.95",1593.96600015089,"2","0.94","0.94","2","2",0
"19232",1,19,"blue","remember","blue","sink",2712,"smaller","No","No","Yes",NA,NA,0,"process","process",-1.5,"process2",145,"0.88",1538.00000000006,"2","0.95","0.95","2","2",0
"19232",1,20,"blue","remember","blue","brick",1101,"smaller","No","No","Yes",NA,NA,0,"remember","remember",0.5,"remember1",22,"0.07",1621.62900002615,"0","0.88","0.88","2","2",-2
"19232",1,21,"blue","process","red","church",2760,"larger","No","No","Yes",NA,NA,0,"remember","remember",1.5,"remember2",42,"0.98",1307.02500012465,"2","0.07","0.07","0","0",2
"19232",1,22,"blue","process","red","nail",1699.00000000006,"smaller","No","No","Yes",NA,NA,0,"process","process",-0.5,"process1",106,"0.01",1386.37899997761,"0","0.98","0.98","2","2",-2
"19232",1,23,"blue","process","red","surgeon",807,"larger","No","No","Yes",NA,NA,0,"process","process",-1.5,"process2",154,"0.98",1621.28500001953,"2","0.01","0.01","0","0",2
"19232",1,24,"blue","remember","blue","sandwich",1925,"smaller","No","No","Yes",3,2704,1,"process","process",-2.5,"process3",139,"0.06",1639.62199984863,"0","0.98","0.98","2","2",-2
"19232",1,25,"blue","process","red","train",1022.00000000006,"larger","No","No","Yes",NA,NA,0,"remember","remember",0.5,"remember1",166,"0.98",1457.17700002907,"2","0.06","0.06","0","0",2
"19232",1,26,"blue","process","red","horse",2539,"smaller","No","No","Yes",NA,NA,0,"process","process",-0.5,"process1",87,"0.96",1394.81150000085,"2","0.98","0.98","2","2",0
"19232",1,27,"blue","process","red","passport",1202,"smaller","No","No","Yes",NA,NA,0,"process","process",-1.5,"process2",116,"0.09",1438.31699995766,"0","0.96","0.96","2","2",-2
"19232",1,28,"blue","process","red","glove",3669,"larger","No","No","Yes",NA,NA,0,"process","process",-2.5,"process3",78,"0.05",1872.6590000171,"0","0.09","0.09","0","0",0
"19232",1,29,"blue","remember","blue","curtain",1371,"smaller","No","No","Yes",NA,NA,0,"process","process",-2.5,"process3",56,"0.91",1399.05999995722,"2","0.05","0.05","0","0",2
"19232",1,30,"blue","process","red","sweater",1618,"smaller","No","No","Yes",NA,NA,0,"remember","remember",0.5,"remember1",155,"0.88",1534.2375000072,"2","0.91","0.91","2","2",0
"19232",2,1,"blue","process","red","flower",1769,"larger","No","No","Yes",3,3631,1,NA,NA,NA,NA,72,"0.09",1367.54599995434,"0",NA,NA,"2","2",-2
"19232",2,2,"blue","remember","blue","frog",3437,"larger","No","No","Yes",29,5594,1,"process","process",-0.5,"process1",75,"0.07",1481.0869999952,"0","0.09","0.09","0","0",0
"19232",2,3,"blue","remember","blue","guitar",888,"larger","No","No","Yes",NA,NA,0,"remember","remember",0.5,"remember1",81,"0.92",1515.57199999949,"2","0.07","0.07","0","0",2
"19232",2,4,"blue","remember","blue","camera",1092,"smaller","No","No","Yes",NA,NA,0,"remember","remember",1.5,"remember2",32,"0.17",1657.88249999398,"0","0.92","0.92","2","2",-2
"19232",2,5,"blue","remember","blue","tank",1625,"larger","No","No","Yes",4,6230.00000000012,1,"remember","remember",2.5,"remember3",157,"0.92",1665.79200000769,"2","0.17","0.17","0","0",2
"19232",2,6,"blue","remember","blue","wallet",1266,"smaller","No","No","Yes",NA,NA,0,"remember","remember",2.5,"remember3",174,"0.06",1343.66400009574,"0","0.92","0.92","2","2",-2
"19232",2,7,"blue","remember","blue","lion",1450.00000000006,"larger","No","No","Yes",NA,NA,0,"remember","remember",2.5,"remember3",100,"0.97",1492.27800001407,"2","0.06","0.06","0","0",2
"19232",2,8,"blue","remember","blue","cave",1183,"larger","No","No","Yes",NA,NA,0,"remember","remember",2.5,"remember3",36,"0.97",1454.27700001315,"2","0.97","0.97","2","2",0
"19232",2,9,"blue","remember","blue","liver",1448.00000000006,"smaller","No","No","Yes",1,7086,1,"remember","remember",2.5,"remember3",101,"0.21",2143.48499999885,"1","0.97","0.97","2","2",-1
"19232",2,10,"blue","remember","blue","soda",2570,"smaller","No","No","Yes",NA,NA,0,"remember","remember",2.5,"remember3",147,"0.1",1583.08849999862,"0","0.21","0.21","1","1",-1
"19232",2,11,"blue","remember","blue","child",2239,"larger","No","No","Yes",NA,NA,0,"remember","remember",2.5,"remember3",40,"0.96",1589.86700008204,"2","0.1","0.1","0","0",2
"19232",2,12,"blue","process","red","nest",3050,"smaller","No","No","Yes",NA,NA,0,"remember","remember",2.5,"remember3",109,"0.18",1953.1384999984,"0","0.96","0.96","2","2",-2
"19232",2,13,"blue","process","red","fruit",2768,"smaller","No","No","Yes",22,10109,1,"process","process",-0.5,"process1",76,"0.08",1500.67200000077,"0","0.18","0.18","0","0",0
"19232",2,14,"blue","process","red","robin",2096,"smaller","No","No","Yes",NA,NA,0,"process","process",-1.5,"process2",137,"0.14",1561.00450000359,"0","0.08","0.08","0","0",0
"19232",2,15,"blue","process","red","nanny",781,"larger","No","No","Yes",NA,NA,0,"process","process",-2.5,"process3",107,"0.97",1486.07750004,"2","0.14","0.14","0","0",2
"19232",2,16,"blue","process","red","castle",1144,"larger","No","No","Yes",NA,NA,0,"process","process",-2.5,"process3",35,"0.97",1316.6630000688,"2","0.97","0.97","2","2",0
"19232",2,17,"blue","process","red","basement",990,"smaller","No","No","Yes",NA,NA,0,"process","process",-2.5,"process3",8,"0.92",1402.31650009591,"2","0.97","0.97","2","2",0
"19232",2,18,"blue","remember","blue","highway",2240,"larger","No","No","Yes",NA,NA,0,"process","process",-2.5,"process3",85,"0.98",1476.07400011027,"2","0.92","0.92","2","2",0
"19232",2,19,"blue","process","red","brain",1025,"smaller","No","No","Yes",NA,NA,0,"remember","remember",0.5,"remember1",19,"0.25",2218.95500000322,"1","0.98","0.98","2","2",-1
"19232",2,20,"blue","remember","blue","tooth",978,"smaller","No","No","Yes",33,4970,1,"process","process",-0.5,"process1",163,"0.05",1235.60650000782,"0","0.25","0.25","1","1",-1
"19232",2,21,"blue","process","red","string",2586.00000000012,"larger","No","No","Yes",20,2653,1,"remember","remember",0.5,"remember1",153,"0.04",1542.09399999969,"0","0.05","0.05","0","0",0
"19232",2,22,"blue","process","red","penny",1216,"smaller","No","No","Yes",NA,NA,0,"process","process",-0.5,"process1",119,"0.07",1438.30700000236,"0","0.04","0.04","0","0",0
"19232",2,23,"blue","process","red","satellite",1744,"larger","No","No","Yes",16,4424,1,"process","process",-1.5,"process2",140,"0.99",1611,"2","0.07","0.07","0","0",2
"19232",2,24,"blue","remember","blue","stairs",1423,"smaller","No","No","Yes",10,1996,1,"process","process",-2.5,"process3",150,"0.9",1455.46999999997,"2","0.99","0.99","2","2",0
"19232",2,25,"blue","remember","blue","valley",2036.00000000012,"larger","No","No","Yes",9,4146,1,"remember","remember",0.5,"remember1",171,"0.96",1426.19250004651,"2","0.9","0.9","2","2",0
"19232",2,26,"blue","process","red","library",1676,"smaller","No","No","Yes",NA,NA,0,"remember","remember",1.5,"remember2",99,"0.99",1293.25799999398,"2","0.96","0.96","2","2",0
"19232",2,27,"blue","process","red","jungle",712.000000000116,"larger","No","No","Yes",NA,NA,0,"process","process",-0.5,"process1",92,"0.96",1400.17550000636,"2","0.99","0.99","2","2",0
"19232",2,28,"blue","process","red","jewelry",708,"smaller","No","No","Yes",NA,NA,0,"process","process",-1.5,"process2",91,"0.05",1563.59050000188,"0","0.96","0.96","2","2",-2
"19232",2,29,"blue","process","red","phone",1473.00000000012,"smaller","No","No","Yes",12,9465,1,"process","process",-2.5,"process3",120,"0.11",1830.3539999998,"0","0.05","0.05","0","0",0
"19232",2,30,"blue","remember","blue","crown",2536,"larger","No","No","Yes",NA,NA,0,"process","process",-2.5,"process3",55,"0.19",1754.04400000002,"0","0.11","0.11","0","0",0
"19233",1,1,"blue","remember","blue","sweater",18750.620999998,"larger","No","Yes","Yes",NA,NA,0,NA,NA,NA,NA,155,"0.88",1534.2375000072,"2",NA,NA,"0","0",2
"19233",1,2,"blue","remember","blue","apple",24129.8059999974,"larger","No","Yes","Yes",NA,NA,0,"remember","remember",0.5,"remember1",2,"0.05",1478.68200000431,"0","0.88","0.88","2","2",-2
"19233",1,3,"blue","process","red","nest",3652.48199999734,"smaller","No","Yes","Yes",NA,NA,0,"remember","remember",1.5,"remember2",109,"0.18",1953.1384999984,"0","0.05","0.05","0","0",0
"19233",1,4,"blue","process","red","dog",5561.35499999468,"larger","No","Yes","Yes",NA,NA,0,"process","process",-0.5,"process1",63,"0.91",1483.62399999035,"2","0.18","0.18","0","0",2
"19233",1,5,"blue","remember","blue","ocean",3460.80899999331,"larger","No","Yes","Yes",NA,NA,0,"process","process",-1.5,"process2",112,"0.96",1456.75249996094,"2","0.91","0.91","2","2",0
"19233",1,6,"blue","process","red","cave",2353.97399999946,"larger","No","Yes","Yes",NA,NA,0,"remember","remember",0.5,"remember1",36,"0.97",1454.27700001315,"2","0.96","0.96","2","2",0
"19233",1,7,"blue","remember","blue","glove",12884.2079999973,"smaller","No","Yes","Yes",NA,NA,0,"process","process",-0.5,"process1",78,"0.05",1872.6590000171,"0","0.97","0.97","2","2",-2
"19233",1,8,"blue","remember","blue","guitar",31956.1040000002,"larger","No","Yes","Yes",NA,NA,0,"remember","remember",0.5,"remember1",81,"0.92",1515.57199999949,"2","0.05","0.05","0","0",2
"19233",1,9,"blue","remember","blue","liver",5546.04099999584,"smaller","No","Yes","Yes",NA,NA,0,"remember","remember",1.5,"remember2",101,"0.21",2143.48499999885,"1","0.92","0.92","2","2",-1
"19233",1,10,"blue","remember","blue","brain",2347.07099999493,"smaller","No","Yes","Yes",NA,NA,0,"remember","remember",2.5,"remember3",19,"0.25",2218.95500000322,"1","0.21","0.21","1","1",0
"19233",1,11,"blue","process","red","wrist",3325.33099999948,"smaller","No","Yes","Yes",NA,NA,0,"remember","remember",2.5,"remember3",180,"0.09",1433.27300000016,"0","0.25","0.25","1","1",-1
"19233",1,12,"blue","remember","blue","priest",3227.0119999983,"smaller","No","Yes","Yes",NA,NA,0,"process","process",-0.5,"process1",131,"0.91",1340.24100000004,"2","0.09","0.09","0","0",2
"19233",1,13,"blue","process","red","surgeon",5253.48899999511,"larger","No","Yes","Yes",NA,NA,0,"remember","remember",0.5,"remember1",154,"0.98",1621.28500001953,"2","0.91","0.91","2","2",0
"19233",1,14,"blue","process","red","basket",9900.4969999991,"larger","No","Yes","Yes",NA,NA,0,"process","process",-0.5,"process1",9,"0.76",1624.29100004898,"1","0.98","0.98","2","2",-1
"19233",1,15,"blue","remember","blue","cocktail",5158.74699999409,"larger","No","Yes","Yes",NA,NA,0,"process","process",-1.5,"process2",49,"0.03",1635.89899998892,"0","0.76","0.76","1","1",-1
"19233",1,16,"blue","process","red","phone",15232.044999997,"smaller","No","Yes","Yes",NA,NA,0,"remember","remember",0.5,"remember1",120,"0.11",1830.3539999998,"0","0.03","0.03","0","0",0
"19233",1,17,"blue","remember","blue","highway",6061.94599999971,"smaller","No","Yes","Yes",NA,NA,0,"process","process",-0.5,"process1",85,"0.98",1476.07400011027,"2","0.11","0.11","0","0",2
"19233",1,18,"blue","remember","blue","cabin",13300.5789999969,"smaller","No","Yes","Yes",NA,NA,0,"remember","remember",0.5,"remember1",30,"0.96",1509.23850001342,"2","0.98","0.98","2","2",0
"19233",1,19,"blue","process","red","whistle",2988.99499999615,"larger","No","Yes","Yes",NA,NA,0,"remember","remember",1.5,"remember2",176,"0.03",1441.00849999982,"0","0.96","0.96","2","2",-2
"19233",1,20,"blue","process","red","universe",4161.59799999738,"larger","No","Yes","Yes",NA,NA,0,"process","process",-0.5,"process1",170,"0.95",1398.19600004651,"2","0.03","0.03","0","0",2
"19233",1,21,"blue","process","red","factory",9308.0319999936,"smaller","No","Yes","Yes",NA,NA,0,"process","process",-1.5,"process2",70,"0.94",1432.45599999957,"2","0.95","0.95","2","2",0
"19233",1,22,"blue","remember","blue","whale",13383.2609999972,"larger","No","Yes","Yes",NA,NA,0,"process","process",-2.5,"process3",175,"0.95",1533.23600000178,"2","0.94","0.94","2","2",0
"19233",1,23,"blue","remember","blue","train",5253.09499999881,"larger","No","Yes","Yes",NA,NA,0,"remember","remember",0.5,"remember1",166,"0.98",1457.17700002907,"2","0.95","0.95","2","2",0
"19233",1,24,"blue","remember","blue","hammer",3028.09799999959,"smaller","No","Yes","Yes",NA,NA,0,"remember","remember",1.5,"remember2",82,"0.24",1560.7815000547,"1","0.98","0.98","2","2",-1
"19233",1,25,"blue","process","red","crown",8675.22499999427,"smaller","No","Yes","Yes",NA,NA,0,"remember","remember",2.5,"remember3",55,"0.19",1754.04400000002,"0","0.24","0.24","1","1",-1
