"id","listid","study_position","color_condition","trial_condition","stimulus_condition","presented_color","word1","word2","studyRT","resp","expect_test","use_help","exp_duration","output_pos1","testRT1","output_pos2","testRT2","acc1","acc2","acc","exclude","cue_prioritem1","cue_prioritem","cue_consec_value","cue_consec_lab","math_acc","n"
"17633",1,1,"red","process","words","blue","church",NA,2882.83399999561,"larger","No","No",28.9986725833325,NA,NA,NA,NA,0,NA,0,FALSE,NA,NA,NA,NA,0.913793103448276,58
"17633",1,2,"red","process","words","blue","robot",NA,2291.31700001284,"larger","No","No",28.9986725833325,NA,NA,NA,NA,0,NA,0,FALSE,"process","process",-0.5,"process1",0.913793103448276,58
"17633",1,3,"red","remember","words","red","jewelry",NA,2602.0930000369,"smaller","No","No",28.9986725833325,2,3166.4150000317,NA,NA,1,NA,1,FALSE,"process","process",-1.5,"process2",0.913793103448276,58
"17633",1,4,"red","process","words","blue","skull",NA,3664.92300004046,"larger","No","No",28.9986725833325,NA,NA,NA,NA,0,NA,0,FALSE,"remember","remember",0.5,"remember1",0.913793103448276,58
"17633",1,5,"red","process","words","blue","apple",NA,1277.13599992928,"smaller","No","No",28.9986725833325,NA,NA,NA,NA,0,NA,0,FALSE,"process","process",-0.5,"process1",0.913793103448276,58
"17633",1,6,"red","process","words","blue","garden",NA,1294.9270000183,"larger","No","No",28.9986725833325,NA,NA,NA,NA,0,NA,0,FALSE,"process","process",-1.5,"process2",0.913793103448276,58
"17633",1,7,"red","remember","words","red","pipe",NA,3215.44299998286,"smaller","No","No",28.9986725833325,3,1502.06399994646,NA,NA,1,NA,1,FALSE,"process","process",-2.5,"process3",0.913793103448276,58
"17633",1,8,"red","remember","words","red","needle",NA,3461.84299997741,"smaller","No","No",28.9986725833325,4,946.442999958992,NA,NA,1,NA,1,FALSE,"remember","remember",0.5,"remember1",0.913793103448276,58
"17633",1,9,"red","remember","words","red","circus",NA,1733.02299994032,"larger","No","No",28.9986725833325,5,1244.85999996634,NA,NA,1,NA,1,FALSE,"remember","remember",1.5,"remember2",0.913793103448276,58
"17633",1,10,"red","process","words","blue","towel",NA,1432.21799995482,"smaller","No","No",28.9986725833325,NA,NA,NA,NA,0,NA,0,FALSE,"remember","remember",2.5,"remember3",0.913793103448276,58
"17633",1,11,"red","process","words","blue","rabbit",NA,1031.03000001167,"smaller","No","No",28.9986725833325,NA,NA,NA,NA,0,NA,0,FALSE,"process","process",-0.5,"process1",0.913793103448276,58
"17633",1,12,"red","remember","words","red","diamond",NA,3142.80299998727,"smaller","No","No",28.9986725833325,7,1023.01700002118,NA,NA,1,NA,1,FALSE,"process","process",-1.5,"process2",0.913793103448276,58
"17633",1,13,"red","remember","words","red","cocktail",NA,1100.13699997996,"smaller","No","No",28.9986725833325,NA,NA,NA,NA,0,NA,0,FALSE,"remember","remember",0.5,"remember1",0.913793103448276,58
"17633",1,14,"red","remember","words","red","satellite",NA,1194.41999993555,"larger","No","No",28.9986725833325,NA,NA,NA,NA,0,NA,0,FALSE,"remember","remember",1.5,"remember2",0.913793103448276,58
