"id","listid","study_position","color_condition","trial_condition","stimulus_condition","presented_color","word1","studyRT","resp","expect_test","use_help","exp_duration","recall_all_q","output_pos1","testRT1","recall_acc","tested_word_left","tested_word_right","recog_response","recogRT","old_pos","recog_pos","recog_acc","exclude","cue_prioritem1","cue_prioritem","cue_consec_value","cue_consec_lab","math_acc","n","rep","l2_recall"
"18276",1,1,"red","remember","words","red","wrist",5760.74399999696,"larger","No","Yes",19.5172155833333,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,0.705882352941177,17,1,NA
"18276",1,2,"red","process","words","blue","bridge",3613.42499999623,"larger","No","Yes",19.5172155833333,"Yes",3,2077.63500000205,1,NA,NA,NA,NA,NA,NA,NA,TRUE,"remember","remember",0.5,"remember1",0.705882352941177,17,1,NA
"18276",1,3,"red","remember","words","red","liver",2885.56899999663,"larger","No","Yes",19.5172155833333,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,TRUE,"process","process",-0.5,"process1",0.705882352941177,17,1,NA
"18276",1,4,"red","process","words","blue","branch",3460.94999999953,"smaller","No","Yes",19.5172155833333,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,TRUE,"remember","remember",0.5,"remember1",0.705882352941177,17,1,NA
"18276",1,5,"red","remember","words","red","corn",4711.91600000067,"smaller","No","Yes",19.5172155833333,"Yes",2,1663.29799999821,1,NA,NA,NA,NA,NA,NA,NA,TRUE,"process","process",-0.5,"process1",0.705882352941177,17,1,NA
"18276",1,6,"red","process","words","blue","burger",2624.05700000019,"smaller","No","Yes",19.5172155833333,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,TRUE,"remember","remember",0.5,"remember1",0.705882352941177,17,1,NA
"18276",1,7,"red","remember","words","red","pipe",2662.51700000089,"smaller","No","Yes",19.5172155833333,"Yes",1,5402.15699999791,1,NA,NA,NA,NA,NA,NA,NA,TRUE,"process","process",-0.5,"process1",0.705882352941177,17,1,NA
"18276",1,8,"red","process","words","blue","horse",7349.30899999736,"larger","No","Yes",19.5172155833333,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,TRUE,"remember","remember",0.5,"remember1",0.705882352941177,17,1,NA
"18276",1,9,"red","process","words","blue","badge",5875.27400000123,"larger","No","Yes",19.5172155833333,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,TRUE,"process","process",-0.5,"process1",0.705882352941177,17,1,NA
"18276",1,10,"red","process","words","blue","buffalo",2777.20000000118,"larger","No","Yes",19.5172155833333,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,TRUE,"process","process",-1.5,"process2",0.705882352941177,17,1,NA
"18276",1,11,"red","process","words","blue","beach",15538.3020000025,"larger","No","Yes",19.5172155833333,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,TRUE,"process","process",-2.5,"process3",0.705882352941177,17,1,NA
"18276",1,12,"red","remember","words","red","butler",2549.90100000257,"larger","No","Yes",19.5172155833333,"Yes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,TRUE,"process","process",-2.5,"process3",0.705882352941177,17,1,NA
