"id","listid","study_position","color_condition","trial_condition","stimulus_condition","presented_color","word1","word2","studyRT","resp","expect_test","use_help","exp_duration","recall_all_q","output_pos1","testRT1","output_pos2","testRT2","acc1","acc2","acc","exclude","cue_prioritem1","cue_prioritem","cue_consec_value","cue_consec_lab","math_acc","n"
"18455",1,1,"blue","process","words","red","string",NA,4263.89599994491,"smaller","No","No",18.8536591666673,"Yes",NA,NA,NA,NA,0,NA,0,FALSE,NA,NA,NA,NA,0.818181818181818,11
"18455",1,2,"blue","process","words","red","railroad",NA,1708.49799999481,"larger","No","No",18.8536591666673,"Yes",NA,NA,NA,NA,0,NA,0,FALSE,"process","process",-0.5,"process1",0.818181818181818,11
"18455",1,3,"blue","process","words","red","fort",NA,9159.46199996624,"larger","No","No",18.8536591666673,"Yes",NA,NA,NA,NA,0,NA,0,FALSE,"process","process",-1.5,"process2",0.818181818181818,11
"18455",1,4,"blue","remember","words","blue","dragon",NA,1917.76100003632,"larger","No","No",18.8536591666673,"Yes",1,8359.39500000363,NA,NA,1,NA,1,FALSE,"process","process",-2.5,"process3",0.818181818181818,11
"18455",1,5,"blue","remember","words","blue","guitar",NA,4611.04699998524,"larger","No","No",18.8536591666673,"Yes",NA,NA,NA,NA,0,NA,0,FALSE,"remember","remember",0.5,"remember1",0.818181818181818,11
"18455",1,6,"blue","remember","words","blue","casino",NA,2489.96399996098,"larger","No","No",18.8536591666673,"Yes",2,2978.46400002227,NA,NA,1,NA,1,FALSE,"remember","remember",1.5,"remember2",0.818181818181818,11
"18455",1,7,"blue","process","words","red","nest",NA,1776.51100003108,"smaller","No","No",18.8536591666673,"Yes",NA,NA,NA,NA,0,NA,0,FALSE,"remember","remember",2.5,"remember3",0.818181818181818,11
"18455",1,8,"blue","process","words","red","opera",NA,2423.76000001078,"larger","No","No",18.8536591666673,"Yes",NA,NA,NA,NA,0,NA,0,FALSE,"process","process",-0.5,"process1",0.818181818181818,11
"18455",1,9,"blue","process","words","red","pipe",NA,9620.89599996444,"larger","No","No",18.8536591666673,"Yes",NA,NA,NA,NA,0,NA,0,FALSE,"process","process",-1.5,"process2",0.818181818181818,11
"18455",1,10,"blue","process","words","red","pole",NA,2307.99000001652,"larger","No","No",18.8536591666673,"Yes",NA,NA,NA,NA,0,NA,0,FALSE,"process","process",-2.5,"process3",0.818181818181818,11
"18455",1,11,"blue","process","words","red","needle",NA,2154.65000001906,"smaller","No","No",18.8536591666673,"Yes",NA,NA,NA,NA,0,NA,0,FALSE,"process","process",-2.5,"process3",0.818181818181818,11
"18455",1,12,"blue","process","words","red","taxi",NA,1187.08400000876,"larger","No","No",18.8536591666673,"Yes",NA,NA,NA,NA,0,NA,0,FALSE,"process","process",-2.5,"process3",0.818181818181818,11
"18455",1,13,"blue","process","words","red","lawyer",NA,1463.90799996443,"larger","No","No",18.8536591666673,"Yes",8,4349.81500003813,NA,NA,1,NA,1,FALSE,"process","process",-2.5,"process3",0.818181818181818,11
"18455",1,14,"blue","remember","words","blue","brick",NA,2256.10699997848,"smaller","No","No",18.8536591666673,"Yes",3,2263.79400004609,NA,NA,1,NA,1,FALSE,"process","process",-2.5,"process3",0.818181818181818,11
"18455",1,15,"blue","process","words","red","carpet",NA,7191.36299998988,"larger","No","No",18.8536591666673,"Yes",4,2297.78899993864,NA,NA,1,NA,1,FALSE,"remember","remember",0.5,"remember1",0.818181818181818,11
