"id","listid","study_position","color_condition","trial_condition","presented_color","word1","presented_position","studyRT","resp","expect_test","use_help","exp_duration","recall_all_q","output_pos1","testRT1","recall_acc","exclude","loc_resp","loc_rt","loc_test_serial_position","cue_prioritem1","cue_prioritem","cue_consec_value","cue_consec_lab","pos_prioritem1","pos_prioritem","math_acc","n","loc_acc"
"100",1,1,"red","process","blue","bike","4",4453.94499999218,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA
"100",1,2,"red","remember","red","pistol","4",4655.06499999273,"smaller","No","No",15.0062481666663,"Yes",3,3184.39999999484,1,FALSE,"1",2077.01499999006,2,"process","process",-0.5,"process1","4","4",1,10,0
"100",1,3,"red","remember","red","garden","4",3355.7540000015,"smaller","No","No",15.0062481666663,"Yes",4,1439.37400000344,1,FALSE,"3",1884.16899998742,7,"remember","remember",0.5,"remember1","4","4",1,10,0
"100",1,4,"red","process","blue","hammer","1",5229.55499999257,"smaller","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,NA,NA,NA,"remember","remember",1.5,"remember2","4","4",1,10,NA
"100",1,5,"red","remember","red","guitar","3",2053.41299998818,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"3",2339.41499998438,3,"process","process",-0.5,"process1","1","1",1,10,1
"100",1,6,"red","process","blue","elephant","1",1889.15399998557,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,NA,NA,NA,"remember","remember",0.5,"remember1","3","3",1,10,NA
"100",1,7,"red","process","blue","jeep","3",2283.45500000461,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,NA,NA,NA,"process","process",-0.5,"process1","1","1",1,10,NA
"100",1,8,"red","remember","red","potato","2",1650.86099998432,"smaller","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"2",1398.49899997772,11,"process","process",-1.5,"process2","3","3",1,10,1
"100",1,9,"red","remember","red","tower","3",5027.08199999694,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"2",1702.53699998104,9,"remember","remember",0.5,"remember1","2","2",1,10,0
"100",1,10,"red","remember","red","rabbit","2",1567.52399999538,"larger","No","No",15.0062481666663,"Yes",NA,NA,0,FALSE,"2",7038.80299998901,1,"remember","remember",1.5,"remember2","3","3",1,10,1
